start_ip,end_ip,asn
45.127.192.0,45.127.195.255,262191
45.137.136.0,45.137.137.255,267708
45.145.248.0,45.145.248.255,274044
45.162.2.0,45.162.2.255,266903
45.162.3.0,45.162.3.255,266903
45.162.76.0,45.162.76.255,267678
45.162.82.0,45.162.83.255,267682
45.162.84.0,45.162.84.255,267682
45.162.126.0,45.162.126.255,267691
45.163.28.0,45.163.28.255,267841
45.163.29.0,45.163.29.255,267841
45.163.30.0,45.163.30.255,267841
45.167.124.0,45.167.124.255,269804
45.167.125.0,45.167.125.255,269804
45.167.126.0,45.167.126.255,269804
45.167.248.0,45.167.248.255,272929
45.167.249.0,45.167.249.255,267788
45.167.250.0,45.167.250.255,267788
45.167.251.0,45.167.251.255,267788
45.169.37.0,45.169.37.255,262191
45.169.38.0,45.169.38.255,262191
45.169.39.0,45.169.39.255,262191
45.169.98.0,45.169.99.255,267790
45.169.253.0,45.169.253.255,13489
45.170.126.0,45.170.126.255,267755
45.170.127.0,45.170.127.255,267755
45.170.240.0,45.170.241.255,262186
45.171.118.0,45.171.118.255,262191
45.171.180.0,45.171.183.255,267777
45.172.178.0,45.172.178.255,267810
45.172.179.0,45.172.179.255,272937
45.172.184.0,45.172.184.255,267796
45.172.185.0,45.172.185.255,267796
45.172.187.0,45.172.187.255,267796
45.172.218.0,45.172.218.255,267810
45.172.222.0,45.172.222.255,267823
45.172.223.0,45.172.223.255,267823
45.173.4.0,45.173.4.255,262191
45.173.5.0,45.173.5.255,267857
45.173.6.0,45.173.7.255,262191
45.173.8.0,45.173.8.255,262186
45.173.9.0,45.173.9.255,272995
45.173.10.0,45.173.10.255,272995
45.173.11.0,45.173.11.255,272995
45.173.12.0,45.173.12.255,267823
45.173.14.0,45.173.15.255,267799
45.173.44.0,45.173.44.255,267799
45.173.68.0,45.173.68.255,267807
45.173.69.0,45.173.69.255,267807
45.173.70.0,45.173.70.255,267807
45.173.71.0,45.173.71.255,267807
45.174.227.0,45.174.227.255,267855
45.175.20.0,45.175.20.255,267832
45.175.139.0,45.175.139.255,267834
45.176.70.0,45.176.71.255,269836
45.176.193.0,45.176.193.255,269836
45.176.232.0,45.176.232.255,267869
45.176.233.0,45.176.233.255,267869
45.176.235.0,45.176.235.255,267869
45.177.52.0,45.177.52.255,262186
45.177.53.0,45.177.53.255,19429
45.177.108.0,45.177.108.255,27951
45.177.109.0,45.177.109.255,267857
45.177.110.0,45.177.110.255,267857
45.178.12.0,45.178.15.255,267890
45.179.160.0,45.179.163.255,269743
45.179.200.0,45.179.200.255,267919
45.179.201.0,45.179.201.255,267919
45.179.202.0,45.179.202.255,265693
45.179.244.0,45.179.247.255,267929
45.180.22.0,45.180.22.255,269742
45.180.23.0,45.180.23.255,269742
45.180.44.0,45.180.44.255,269742
45.180.82.0,45.180.82.255,274164
45.180.83.0,45.180.83.255,274164
45.180.112.0,45.180.112.255,274164
45.181.156.0,45.181.156.255,269755
45.181.158.0,45.181.158.255,269755
45.181.188.0,45.181.191.255,269735
45.181.204.0,45.181.204.255,262186
45.181.205.0,45.181.205.255,269746
45.181.206.0,45.181.206.255,269737
45.181.207.0,45.181.207.255,269737
45.182.41.0,45.182.41.255,269746
45.183.196.0,45.183.196.255,10299
45.183.197.0,45.183.197.255,265696
45.183.198.0,45.183.198.255,265696
45.183.247.0,45.183.247.255,269777
45.185.31.0,45.185.31.255,269796
45.187.48.0,45.187.48.255,269855
45.187.49.0,45.187.49.255,269855
45.187.50.0,45.187.50.255,269855
